상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
생가득 우리쌀 떡국떡(700g),4840,N,N,0,0,0,4840
생가득 우리쌀 떡국떡(700g),6500,N,N,0,0,0,6500
생가득 우리쌀 떡국떡(700g),4980,Y,N,0,1,0,4980
생가득 우리쌀 떡국떡(700g),6400,N,N,0,0,0,6400
오뚜기 우리쌀 떡국떡(600g),4980,N,N,0,0,0,4980
오뚜기 우리쌀 떡국떡(600g),3890,N,N,1,0,0,3890
오뚜기 우리쌀 떡국떡(600g),3900,N,N,0,0,0,3900
오뚜기 우리쌀 떡국떡(600g),4950,N,N,0,0,0,4950
삼양라면 5개입,2280,N,N,0,0,0,2280
삼양라면 5개입,3600,N,N,0,0,0,3600
삼양라면 5개입,3300,N,N,0,0,1,1650
삼양라면 5개입,3800,N,N,0,0,0,3800
삼양라면 5개입,3500,N,N,0,0,0,3500
삼양라면 5개입,3280,N,N,0,0,0,3280
삼양라면 5개입,3200,N,N,0,0,0,3200
삼양라면 5개입,3400,N,N,0,0,0,3400
삼양라면 5개입,2980,N,N,0,0,0,2980
삼양라면 5개입,3390,N,N,0,0,0,3390
삼양라면 5개입,3750,N,N,0,0,0,3750
삼양라면 5개입,2980,Y,N,0,1,0,2980
삼양라면 5개입,3600,Y,N,0,1,0,3600
삼양라면 5개입,4000,N,N,0,0,0,4000
삼양라면 5개입,3000,N,N,1,0,1,1500
삼양라면 5개입,2950,Y,N,0,1,0,2950
삼양라면 5개입,2850,N,N,0,0,0,2850
삼양라면 5개입,3660,N,N,0,0,0,3660
삼양라면 5개입,3250,N,N,0,0,0,3250
삼양라면 5개입,3490,N,N,0,0,0,3490
삼양라면 5개입,2950,N,N,0,0,0,2950
삼양라면 5개입,2690,N,N,0,0,0,2690
신라면 5개입,3380,N,N,0,0,0,3380
신라면 5개입,3480,N,N,0,0,0,3480
신라면 5개입,3300,N,N,0,0,0,3300
신라면 5개입,3600,N,N,0,0,0,3600
신라면 5개입,2950,N,N,0,0,0,2950
신라면 5개입,4150,N,N,0,0,0,4150
신라면 5개입,3090,N,N,0,0,0,3090
신라면 5개입,3450,N,N,0,0,0,3450
신라면 5개입,3490,N,N,0,0,0,3490
신라면 5개입,3390,N,N,0,0,0,3390
신라면 5개입,3650,N,N,0,0,0,3650
신라면 5개입,3800,N,N,0,0,0,3800
신라면 5개입,3420,N,N,0,0,0,3420
신라면 5개입,3190,N,N,0,0,0,3190
신라면 5개입,3100,N,N,0,0,0,3100
신라면 5개입,3580,N,N,0,0,0,3580
신라면 5개입,3590,N,N,0,0,0,3590
신라면 5개입,3700,N,N,0,0,0,3700
신라면 5개입,3400,N,N,0,0,0,3400
신라면 5개입,3500,N,N,1,0,1,1750
신라면 5개입,4000,N,N,0,0,0,4000
신라면 5개입,2950,Y,N,0,1,0,2950
신라면 5개입,2980,N,N,0,0,0,2980
신라면 5개입,3550,N,N,0,0,0,3550
신라면 5개입,3150,N,N,0,0,0,3150
신라면 5개입,3850,N,N,0,0,0,3850
신라면 5개입,3950,N,N,0,0,0,3950
신라면 5개입,3500,Y,N,0,1,0,3500
신라면 5개입,3200,N,N,0,0,0,3200
신라면 5개입,3250,N,N,0,0,0,3250
신라면 5개입,3740,N,N,0,0,0,3740
신라면 5개입,3350,N,N,0,0,0,3350
신라면 5개입,2880,N,N,0,0,0,2880
신라면 5개입,3040,N,N,0,0,0,3040
신라면 5개입,3900,N,N,0,0,0,3900
